      PID    PPID    PGID     WINPID   TTY         UID    STIME COMMAND
  4194308       0       0          4  ?              0   Sep  4 System
  4194588       0       0        284  ?              0   Sep  4 *** unknown ***
  4194656       0       0        352  ?              0   Sep  4 Registry
  4195244       0       0        940  ?              0   Sep  4 C:\Windows\System32\smss.exe
  4195820       0       0       1516  ?              0   Sep  4 C:\Windows\System32\csrss.exe
  4195924       0       0       1620  ?              0   Sep  4 C:\Windows\System32\wininit.exe
  4196040       0       0       1736  ?              0   Sep  4 C:\Windows\System32\services.exe
  4196100       0       0       1796  ?              0   Sep  4 C:\Windows\System32\LsaIso.exe
  4196108       0       0       1804  ?              0   Sep  4 C:\Windows\System32\lsass.exe
  4196276       0       0       1972  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196296       0       0       1992  ?              0   Sep  4 C:\Windows\System32\fontdrvhost.exe
  4195216       0       0        912  ?              0   Sep  4 C:\Windows\System32\WUDFHost.exe
  4195408       0       0       1104  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4195920       0       0       1616  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196164       0       0       1860  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196628       0       0       2324  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196636       0       0       2332  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196644       0       0       2340  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196652       0       0       2348  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196856       0       0       2552  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196888       0       0       2584  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196900       0       0       2596  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196964       0       0       2660  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4196980       0       0       2676  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197020       0       0       2716  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197132       0       0       2828  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197140       0       0       2836  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197156       0       0       2852  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197220       0       0       2916  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197152       0       0       2848  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197508       0       0       3204  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197516       0       0       3212  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197700       0       0       3396  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197776       0       0       3472  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197820       0       0       3516  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197908       0       0       3604  ?              0   Sep  4 C:\Windows\System32\DriverStore\FileRepository\nv_surface_woa.inf_arm64_552424781ade3526\Display.NvContainer\NVDisplay.Container.exe
  4197940       0       0       3636  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4197948       0       0       3644  ?              0   Sep  4 C:\Windows\System32\XtaCache.exe
  4198004       0       0       3700  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198012       0       0       3708  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198020       0       0       3716  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198136       0       0       3832  ?              0   Sep  4 MemCompression
  4198200       0       0       3896  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198248       0       0       3944  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198256       0       0       3952  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198336       0       0       4032  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198368       0       0       4064  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198360       0       0       4056  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198540       0       0       4236  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198768       0       0       4464  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4198776       0       0       4472  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4199052       0       0       4748  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4199080       0       0       4776  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4199192       0       0       4888  ?              0   Sep  4 C:\Windows\System32\svchost.exe
  4199268       0       0       4964  ?              0   Sep  4 C:\Windows\System32\spoolsv.exe
